student_ID,wave,stwm
888027,2,0
888027,3,52.73
888027,4,90.17
888027,5,0
888028,1,0
888028,2,44.19
888028,3,23.52
888028,4,21.919999999999998
888028,5,35.72
888029,1,71.11
888029,2,18.05
888029,3,25.740000000000002
888029,4,62.13
888029,5,17.349999999999998
888030,1,33.75
888030,2,38.410000000000004
888030,3,52.69
888030,4,62.18
888030,5,53.95
888031,1,0
888031,2,0
888031,3,0
888031,4,0
888031,5,0
888032,1,0
888032,2,37.83
888032,3,0
888032,4,56.480000000000004
888032,5,0
888033,1,45.94
888033,2,27.03
888033,3,24.41
888033,4,61.5
888033,5,27.919999999999998
888113,1,61.11
888113,2,18.6
888113,3,10.98
888113,4,70.25999999999999
888113,5,229.19
888114,1,0
888114,2,0
888114,3,0
888114,4,0
888114,5,3.21
888115,1,39.08
888115,2,0
888115,3,0
888115,4,0
888115,5,296.55
888116,1,0
888116,2,0
888116,3,0
888116,4,64.4
888116,5,0
888118,1,0.04
888118,2,0
888118,3,0
888118,4,0
888118,5,0
888119,1,55.92
888119,2,40.410000000000004
888119,3,3.35
888119,4,113.86
888119,5,19.6
888120,1,0
888120,2,57.44
888120,3,46.29
888120,4,41.93
888120,5,139.73000000000002
888121,1,0
888121,2,0
888121,3,61.13
888121,4,29.400000000000002
888121,5,28.29
888122,1,0.08
888122,2,98.75
888122,3,0
888122,4,0
888122,5,77.12
888123,1,0
888123,2,0
888123,3,0.6799999999999999
888123,4,0
888123,5,0
888124,1,66.7
888124,2,0
888124,3,0
888124,4,0
888124,5,177.95
888125,1,0
888125,2,63.78
888125,3,0
888125,4,97.44
888125,5,0
888313,1,0
888313,2,51.54
888313,3,5.49
888313,4,0
888313,5,0
888314,1,0
888314,2,92.1
888314,3,23.79
888314,4,3.37
888314,5,0
888316,1,0
888316,2,0
888316,3,205.04000000000002
888316,4,39.8
888316,5,287.95000000000005
888317,1,0
888317,2,0
888317,3,0
888317,4,0
888317,5,26.56
888318,1,19.150000000000002
888318,2,0
888318,3,0
888318,4,0
888318,5,0.25
888319,1,66.81
888319,2,0
888319,3,60.35
888319,4,60.53
888319,5,17.25
888320,1,0
888320,2,0
888320,3,42.24
888320,4,1.23
888320,5,105.58
888321,1,60.11
888321,2,0
888321,3,94.27
888321,4,0
888321,5,86.25
888322,1,60.18000000000001
888322,2,68.92
888322,3,23.590000000000003
888322,4,57.99
888322,5,17.02
888323,1,0
888323,2,0
888323,3,103.17999999999999
888323,4,37.08
888323,5,71.51
888324,1,0
888324,2,60.11
888324,3,0
888324,4,0
888324,5,3.23
888325,1,42.12
888325,2,27.12
888325,3,0
888325,4,74.63
888325,5,1.56
888326,1,0
888326,2,0
888326,3,122.41
888326,4,39.94
888326,5,92.39
888327,1,0
888327,2,0
888327,3,32.82
888327,4,8.82
888327,5,193.76000000000002
888328,1,64.02
888328,2,44.6
888328,3,59.84
888328,4,58.7
888328,5,30.06
888329,1,0
888329,2,0
888329,3,0
888329,4,0
888329,5,0
888330,1,37.86
888330,2,0
888330,3,66.81
888330,4,58.660000000000004
888330,5,202.6
888331,1,0
888331,2,21.62
888331,3,0
888331,4,0
888331,5,234.52
888332,1,0
888332,2,0
888332,3,0
888332,4,0
888332,5,25.23
888333,1,0
888333,2,0
888333,3,0
888333,4,0
888333,5,0
888413,1,0
888413,2,39.92
888413,3,0
888413,4,149.88
888413,5,103.14000000000001
888414,1,0
888414,2,60.36
888414,3,21.93
888414,4,0
888414,5,65.58
888415,1,0
888415,2,22.46
888415,3,92.76
888415,4,0
888415,5,120.17
888416,1,0
888416,2,0
888416,3,0
888416,4,0
888416,5,17.02
888417,1,0
888417,2,69.08
888417,3,0
888417,4,0
888417,5,0
888418,1,0
888418,2,0
888418,3,111.5
888418,4,38.75
888418,5,137.42
888419,1,0
888419,2,0
888419,3,0.27
888419,4,37.4
888419,5,138.19
888420,1,0
888420,2,82.59
888420,3,0
888420,4,32.71
888420,5,33.86
888421,1,0
888421,2,36.88
888421,3,0
888421,4,0
888421,5,42.519999999999996
888422,1,19.95
888422,2,0
888422,3,44.199999999999996
888422,4,38.470000000000006
888422,5,71.24000000000001
888423,1,3.26
888423,2,0
888423,3,13.67
888423,4,0
888423,5,198.89999999999998
888424,1,0
888424,2,84.88000000000001
888424,3,26.72
888424,4,38.75
888424,5,24.29
888425,1,0
888425,2,103.78999999999999
888425,3,0.44
888425,4,37.84
888425,5,67.33
888426,1,0
888426,2,0
888426,3,0
888426,4,0
888426,5,81.96000000000001
888427,1,0
888427,2,0
888427,3,0
888427,4,0
888427,5,0
888428,1,0
888428,2,0
888428,3,0
888428,4,0
888428,5,0
888429,1,18.18
888429,2,27
888429,3,33.900000000000006
888429,4,13.06
888429,5,0.15
888430,1,0
888430,2,0
888430,3,0
888430,4,0
888430,5,0
888432,1,0
888432,2,22.72
888432,3,0
888432,4,0
888432,5,0
888433,1,72.78
888433,2,37.04
888433,3,57.419999999999995
888433,4,58.07
888433,5,36.2
888434,1,0
888434,2,0
888434,3,7.57
888434,4,21.35
888434,5,0
888513,1,0
888513,2,81.06
888513,3,0
888513,4,0
888513,5,0
888514,1,0
888514,2,0
888514,3,0
888514,4,0
888514,5,40.28
888515,1,0
888515,2,53.47
888515,3,20.759999999999998
888515,4,37.58
888515,5,0
888516,1,0
888516,2,0
888516,3,0
888516,4,0
888516,5,0
888517,1,0
888517,2,0
888517,3,0
888517,4,0
888517,5,0
888518,1,0
888518,2,49.6
888518,3,90.19
888518,4,0
888518,5,0
888519,1,0
888519,2,97.37
888519,3,26.669999999999998
888519,4,0
888519,5,90.81
888520,1,0
888520,2,0
888520,3,0
888520,4,0
888520,5,0
888521,1,13.88
888521,2,1.06
888521,3,30.63
888521,4,6.48
888521,5,37.53
888522,1,61.59
888522,2,40.9
888522,3,31.96
888522,4,81.28
888522,5,17.02
888523,1,0
888523,2,0
888523,3,0
888523,4,0.6
888523,5,6.88
888524,1,0
888524,2,0
888524,3,2.5900000000000003
888524,4,0
888524,5,188.04
888525,1,0
888525,2,28.66
888525,3,0
888525,4,0
888525,5,34.84
888526,1,0
888526,2,0
888526,3,0
888526,4,0
888526,5,81.28
888527,1,0
888527,2,21.14
888527,3,0
888527,4,32.2
888527,5,38.96
888529,1,64.96
888529,2,26.31
888529,3,31.94
888529,4,81.95
888529,5,80.51
888530,1,0
888530,2,0.14
888530,3,1.26
888530,4,0
888530,5,0
888531,1,0
888531,2,0
888531,3,0
888531,4,43.35
888531,5,25.17
888532,1,0
888532,2,0
888532,3,0
888532,4,0
888532,5,0
888533,1,0
888533,2,0
888533,3,23.75
888533,4,38.03
888533,5,24.71
888613,1,0
888613,2,7.58
888613,3,0
888613,4,0.73
888613,5,183.85
888614,1,0
888614,2,60.64
888614,3,0
888614,4,0
888614,5,56.82
888615,1,0
888615,2,0
888615,3,0
888615,4,21.08
888615,5,48.96
888616,1,0
888616,2,26.52
888616,3,33.39
888616,4,0
888616,5,142.64
888617,1,9.620000000000001
888617,2,62.19
888617,3,0
888617,4,0
888617,5,216.34
888618,1,0
888618,2,0
888618,3,0
888618,4,0
888618,5,0
888619,1,0
888619,2,22.47
888619,3,23.53
888619,4,28.37
888619,5,22.43
888620,1,23.05
888620,2,0
888620,3,25.490000000000002
888620,4,0
888620,5,148.49
888621,1,72.34
888621,2,12.56
888621,3,1.3
888621,4,19
888621,5,95.41
888622,1,0
888622,2,16.919999999999998
888622,3,37.47
888622,4,0
888622,5,43.8
888623,1,20.24
888623,2,0
888623,3,19.7
888623,4,24.29
888623,5,155.36
888624,1,62.26
888624,2,39.02
888624,3,25.34
888624,4,58.59
888624,5,17.59
888625,1,40.56
888625,2,40.18000000000001
888625,3,37.2
888625,4,0
888625,5,15.24
888626,1,0
888626,2,90.39
888626,3,23.970000000000002
888626,4,0
888626,5,68.14
888627,1,0
888627,2,78.77
888627,3,53.8
888627,4,20.52
888627,5,49.129999999999995
888628,1,0
888628,2,24.580000000000002
888628,3,77.34
888628,4,36.94
888628,5,143.12
888629,1,0
888629,2,7.08
888629,3,0
888629,4,0
888629,5,29.91
888630,1,60.120000000000005
888630,2,43.44
888630,3,23.770000000000003
888630,4,59.48
888630,5,16.96
888631,1,0
888631,2,0
888631,3,79.01
888631,4,0
888631,5,0
888632,1,0
888632,2,0
888632,3,91.19
888632,4,66.17
888632,5,56.260000000000005
888713,1,0
888713,2,26.560000000000002
888713,3,0
888713,4,20.87
888713,5,0
888714,1,0
888714,2,39.08
888714,3,0
888714,4,1.1500000000000001
888714,5,0
888715,1,0
888715,2,0
888715,3,0
888715,4,0
888715,5,0
888716,1,63.68
888716,2,1.1
888716,3,68.97
888716,4,23.75
888716,5,37.84
888717,1,0
888717,2,0
888717,3,112.37
888717,4,60.21
888717,5,20.27
888718,1,0
888718,2,0
888718,3,0
888718,4,0
888718,5,38.08
888719,1,0
888719,2,91.71000000000001
888719,3,0
888719,4,0
888719,5,339.31
888720,1,0
888720,2,52.36
888720,3,0
888720,4,39.1
888720,5,0
888721,1,0
888721,2,0
888721,3,0
888721,4,0
888721,5,15.49
888722,1,0
888722,2,0
888722,3,0
888722,4,0
888722,5,0
888723,1,57.82
888723,2,35
888723,3,22.46
888723,4,48.17
888723,5,16.83
888724,1,0
888724,2,98.92
888724,3,31.77
888724,4,80.1
888724,5,0
888725,1,0
888725,2,0
888725,3,0
888725,4,0
888725,5,0
888726,1,62.59
888726,2,37.86
888726,3,23.689999999999998
888726,4,61.910000000000004
888726,5,55.800000000000004
888727,1,0
888727,2,0
888727,3,12.56
888727,4,67.34
888727,5,34.77
888728,1,0
888728,2,0
888728,3,153.02
888728,4,21.88
888728,5,67.17
888813,1,0
888813,2,28.92
888813,3,23.79
888813,4,0
888813,5,57.61
888814,1,0
888814,2,0
888814,3,0
888814,4,0
888814,5,156.44
888815,1,0
888815,2,105.76
888815,3,1.7200000000000002
888815,4,90.25
888815,5,35.58
888816,1,5.58
888816,2,0
888816,3,0
888816,4,0
888816,5,67.6
888817,1,0
888817,2,0
888817,3,0
888817,4,0
888817,5,0.08
888818,1,0
888818,2,26.7
888818,3,0.39
888818,4,8.639999999999999
888818,5,147.84
888819,1,0
888819,2,0
888819,3,0
888819,4,0
888819,5,187.37
888820,1,0
888820,2,0
888820,3,0
888820,4,0
888820,5,135.75
888821,1,43.78
888821,2,0
888821,3,38.19
888821,4,83.15
888821,5,16.94
888822,1,0
888822,2,0
888822,3,0
888822,4,0
888822,5,231.41
888823,1,3.96
888823,2,32.08
888823,3,40.87
888823,4,50.87
888823,5,101.63
888824,1,17.259999999999998
888824,2,11.75
888824,3,7.74
888824,4,17.94
888824,5,129.55
888825,1,0
888825,2,0
888825,3,0
888825,4,0
888825,5,0
888826,1,0
888826,2,0
888826,3,0
888826,4,0
888826,5,144.57
888827,1,57.68
888827,2,34.06
888827,3,0
888827,4,0
888827,5,122.91
888828,1,0
888828,2,87.54
888828,3,18.41
888828,4,0
888828,5,107.24000000000001
888829,1,0.39
888829,2,0
888829,3,0
888829,4,0
888829,5,138.92000000000002
888830,1,0
888830,2,37.2
888830,3,0
888830,4,0
888830,5,0
888831,1,0
888831,2,0
888831,3,0
888831,4,37.65
888831,5,0
888832,1,0
888832,2,0
888832,3,0
888832,4,0
888832,5,0
888833,1,13.89
888833,2,7.75
888833,3,33.86
888833,4,17.47
888833,5,208.16
888834,1,53.38
888834,2,2.64
888834,3,9.16
888834,4,0
